date,source,server,low,q1,md,q3,high
2025-05-12,op-hk8a-conflux,public,174,3928,6657,9986,19065
2025-05-12,op-us8a,public,0,0,0,0,0
2025-05-12,op-us8a-conflux,public,185,4236,7423,11650,22075
2025-05-13,op-de8a,public,430,3956,7108,12336,24672
2025-05-13,op-de8a-conflux,public,128,5242,9754,18236,34952
2025-05-13,op-hk8a,public,230,2379,4369,6452,12336
2025-05-13,op-hk8a-conflux,public,120,3711,6452,9532,18236
2025-05-13,op-us8a,public,0,0,0,0,0
2025-05-13,op-us8a-conflux,public,648,4963,8559,14463,27962
2025-05-14,op-de8a,public,257,4152,8065,14979,29959
2025-05-14,op-de8a-conflux,public,445,6765,11983,20971,41943
2025-05-14,op-hk8a,public,145,2833,4462,6452,11650
2025-05-14,op-hk8a-conflux,public,166,4279,6875,9870,18236
2025-05-14,op-us8a,public,0,0,0,0,0
2025-05-14,op-us8a-conflux,public,355,5592,9320,14979,27962
2025-05-15,op-de8a,public,202,4510,8306,14463,27962
2025-05-15,op-de8a-conflux,public,318,7358,12710,20971,38130
2025-05-15,op-hk8a,public,196,3226,4993,7108,12336
2025-05-15,op-hk8a-conflux,public,139,4821,7231,10485,18236
2025-05-15,op-us8a,public,101,4022,6657,9754,18236
2025-05-15,op-us8a-conflux,public,125,6168,10485,15981,29959
2025-05-16,op-de8a,public,165,6168,10754,18236,34952
2025-05-16,op-de8a-conflux,public,47,9587,16131,26214,46603
2025-05-16,op-hk8a,public,378,3778,5592,7626,13107
2025-05-16,op-hk8a-conflux,public,193,5309,7913,11037,19065
2025-05-16,op-us8a,public,142,4766,7489,10485,18236
2025-05-16,op-us8a-conflux,public,222,7913,12336,18236,32263
2025-05-17,op-de8a,public,59,7358,12710,19972,38130
2025-05-17,op-de8a-conflux,public,580,9754,17476,29959,59918
2025-05-17,op-hk8a,public,250,4369,6168,8065,13530
2025-05-17,op-hk8a-conflux,public,448,6168,8738,11650,19065
2025-05-17,op-us8a,public,240,5667,8924,11983,20971
2025-05-17,op-us8a-conflux,public,183,9118,13981,19065,32263
2025-05-18,op-de8a,public,286,7108,13107,20971,38130
2025-05-18,op-de8a-conflux,public,535,9754,19065,32263,59918
2025-05-18,op-hk8a,public,160,4152,5991,8065,13107
2025-05-18,op-hk8a-conflux,public,203,5745,9118,12336,22075
2025-05-18,op-us8a,public,227,5178,8559,11650,20971
2025-05-18,op-us8a-conflux,public,450,7913,13107,18443,32263
2025-05-19,op-de8a,public,262,6605,11650,19065,34952
2025-05-19,op-de8a-conflux,public,1302,9754,16131,27962,52428
2025-05-19,op-hk8a,public,199,3984,5991,7913,13530
2025-05-19,op-hk8a-conflux,public,170,5686,8924,12336,22075
2025-05-19,op-us8a,public,300,5412,8924,12710,23301
2025-05-19,op-us8a-conflux,public,391,8516,13530,19065,32263
2025-05-20,op-de8a,public,263,5886,11650,19972,38130
2025-05-20,op-de8a-conflux,public,424,9532,16777,27962,52428
2025-05-20,op-hk8a,public,133,3956,5991,7913,13530
2025-05-20,op-hk8a-conflux,public,199,5447,8559,11335,19972
2025-05-20,op-us8a,public,140,6260,9320,13107,23301
2025-05-20,op-us8a-conflux,public,138,7294,12336,18236,32263
2025-05-21,op-de8a,public,247,6765,12710,24672,46603
2025-05-21,op-de8a-conflux,public,426,9118,16131,27962,52428
2025-05-21,op-hk8a,public,175,3584,5592,7626,13530
2025-05-21,op-hk8a-conflux,public,124,5825,8559,11037,18236
2025-05-21,op-us8a,public,316,5825,9320,12336,22075
2025-05-21,op-us8a-conflux,public,166,7108,11650,18236,32263
2025-05-22,op-de8a,public,269,6765,11983,19972,38130
2025-05-22,op-de8a-conflux,public,156,9320,16131,29959,59918
2025-05-22,op-hk8a,public,152,3956,5745,7767,13107
2025-05-22,op-hk8a-conflux,public,348,5309,7989,11037,19065
2025-05-22,op-us8a,public,463,5242,8388,11650,20971
2025-05-22,op-us8a-conflux,public,406,6553,11650,17476,32263
2025-05-23,op-de8a,public,143,6355,11037,19065,38130
2025-05-23,op-de8a-conflux,public,416,8224,14979,27962,52428
2025-05-23,op-hk8a,public,167,3679,5745,7626,13530
2025-05-23,op-hk8a-conflux,public,134,5309,8065,11037,19065
2025-05-23,op-us8a,public,217,4978,8388,11983,22075
2025-05-23,op-us8a-conflux,public,297,7913,13107,19065,34952
2025-05-24,op-de8a,public,636,8065,14979,23643,46603
2025-05-24,op-de8a-conflux,public,152,10230,19065,32263,59918
2025-05-24,op-hk8a,public,213,4559,6078,7767,12336
2025-05-24,op-hk8a-conflux,public,254,5825,8388,11037,18236
2025-05-24,op-us8a,public,83,5447,8831,11983,20971
2025-05-24,op-us8a-conflux,public,282,7358,12710,19065,34952
2025-05-25,op-de8a,public,409,6657,11983,20971,41943
2025-05-25,op-de8a-conflux,public,118,11650,19065,32263,59918
2025-05-25,op-hk8a,public,152,4415,5991,8065,13530
2025-05-25,op-hk8a-conflux,public,316,5667,8388,11335,19065
2025-05-25,op-us8a,public,345,6260,9118,12336,20971
2025-05-25,op-us8a-conflux,public,354,8559,13981,19065,32263
2025-05-26,op-de8a,public,248,7358,13981,23301,46603
2025-05-26,op-de8a-conflux,public,443,10754,19065,32263,59918
2025-05-26,op-hk8a,public,345,4112,5745,7489,12336
2025-05-26,op-hk8a-conflux,public,307,6034,8388,10895,17476
2025-05-26,op-us8a,public,328,5447,8388,12071,20971
2025-05-26,op-us8a-conflux,public,131,8559,13107,19065,32263
2025-05-27,op-de8a,public,486,5765,11650,19065,38130
2025-05-27,op-de8a-conflux,public,171,8738,16131,27962,52428
2025-05-27,op-hk8a,public,240,3584,5242,7358,12710
2025-05-27,op-hk8a-conflux,public,200,5178,8224,11037,19065
2025-05-27,op-us8a,public,22,3410,7358,11037,22075
2025-05-27,op-us8a-conflux,public,164,7200,11983,17476,32263
2025-05-28,op-de8a,public,511,5518,11335,19065,38130
2025-05-28,op-de8a-conflux,public,410,7358,13107,23301,46603
