log_file_path,iteration_no,tor_status,location,codec,caller_pesq_raw,caller_pesq_mos,callee_pesq_raw,callee_pesq_mos,caller_jitter_mean,caller_jitter_median,caller_jitter_max,caller_jitter_range,caller_jitter_iqr,caller_jitter_std_dev,callee_jitter_mean,callee_jitter_median,callee_jitter_max,callee_jitter_range,callee_jitter_iqr,callee_jitter_std_dev
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,9,Tor,3Bangl-nyc,g711,3.13,3.017,3.016,2.846,25.376097037037,25.1225,40.811,40.811,2.7915,3.33501797153897,28.0334989010989,27.651,46.84,46.84,2.478,3.54411627007532
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,10,Tor,3Bangl-nyc,g711,3.324,3.304,2.849,2.601,24.2534503703704,23.9275,42.884,42.884,3.3015,3.24170269371917,29.7569669845928,29.881,47.655,47.655,1.8725,3.18118215214187
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,11,Tor,3Bangl-nyc,g711,3.162,3.064,3.04,2.882,24.2137814814815,23.498,47.14,47.14,2.1155,3.66784299077729,25.4378380952381,24.973,51.618,51.618,2.129,3.96643892333732
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,12,Tor,3Bangl-nyc,g711,2.867,2.628,2.732,2.437,25.964257037037,24.9425,55.453,55.453,3.3855,4.72149956326135,32.1372419354839,32.095,48.859,48.859,3.35000000000001,3.96985800424307
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,13,Tor,3Bangl-nyc,g711,3.298,3.265,3.294,3.259,23.7758007407407,23.506,36.916,36.916,2.157,2.93461846834998,24.2081973587674,23.925,48.286,48.286,2.0555,3.20499811302385
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,14,Tor,3Bangl-nyc,g711,2.971,2.779,2.863,2.622,25.2684128984433,24.764,40.805,40.805,3.535,3.63980913908994,27.7754703296703,27.597,43.302,43.302,2.284,3.27817051721202
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,15,Tor,3Bangl-nyc,g711,3.291,3.255,3.038,2.879,23.4989333333333,23.349,42.896,42.896,1.46725,2.75057631322155,26.4525398683248,26.07,51.65,51.65,2.0595,3.7986221754221
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,16,Tor,3Bangl-nyc,g711,3.201,3.122,2.919,2.704,25.0675392592593,24.553,36.011,36.011,4.025,3.36018539185264,27.4318538913363,27.418,38.21,38.21,2.2275,2.99892754060056
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,17,Tor,3Bangl-nyc,g711,3.011,2.838,3.333,3.317,25.7783866666667,25.483,45.651,45.651,3.171,3.52501394075967,25.1057635829662,24.947,43.491,43.491,2.922,3.16131523702206
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,18,Tor,3Bangl-nyc,g711,3.134,3.022,2.268,1.876,27.6596518518519,27.265,47.023,47.023,3.5235,4.14020643354381,31.9822868613139,30.9805,77.276,77.276,3.508,6.56462268066979
